round,guess_word,best_next_word,no_of_possibilities
0,,roate,2315
1,roate 00000,slimy,195
2,roate 00000;slimy 00000,hanap,5
3,roate 00000;slimy 00000;hanap 10000,chuck,1
3,roate 00000;slimy 00000;hanap 10100,chunk,1
3,roate 00000;slimy 00000;hanap 10200,bunch,1
3,roate 00000;slimy 00000;hanap 10201,punch,1
3,roate 00000;slimy 00000;hanap 20200,hunch,1
2,roate 00000;slimy 00002,phang,12
3,roate 00000;slimy 00002;phang 00000,buddy,2
4,roate 00000;slimy 00002;phang 00000;buddy 02002,fuzzy,1
4,roate 00000;slimy 00002;phang 00000;buddy 22222,buddy,1
3,roate 00000;slimy 00002;phang 00001,buggy,1
3,roate 00000;slimy 00002;phang 00010,funky,1
3,roate 00000;slimy 00002;phang 00020,bunny,2
4,roate 00000;slimy 00002;phang 00020;bunny 02222,funny,1
4,roate 00000;slimy 00002;phang 00020;bunny 22222,bunny,1
3,roate 00000;slimy 00002;phang 01000,duchy,1
3,roate 00000;slimy 00002;phang 01010,hunky,1
3,roate 00000;slimy 00002;phang 10001,guppy,1
3,roate 00000;slimy 00002;phang 20000,puffy,2
4,roate 00000;slimy 00002;phang 20000;puffy 22002,puppy,1
4,roate 00000;slimy 00002;phang 20000;puffy 22222,puffy,1
3,roate 00000;slimy 00002;phang 20001,pudgy,1
2,roate 00000;slimy 00010,humph,2
3,roate 00000;slimy 00010;humph 02102,munch,1
3,roate 00000;slimy 00010;humph 22222,humph,1
2,roate 00000;slimy 00011,nymph,1
2,roate 00000;slimy 00012,dumpy,4
3,roate 00000;slimy 00012;dumpy 02102,mucky,1
3,roate 00000;slimy 00012;dumpy 02222,jumpy,1
3,roate 00000;slimy 00012;dumpy 12102,muddy,1
3,roate 00000;slimy 00012;dumpy 22222,dumpy,1
2,roate 00000;slimy 00020,chump,1
2,roate 00000;slimy 00022,agued,4
3,roate 00000;slimy 00022;agued 00100,mummy,1
3,roate 00000;slimy 00022;agued 00101,dummy,1
3,roate 00000;slimy 00022;agued 01000,pygmy,1
3,roate 00000;slimy 00022;agued 01100,gummy,1
2,roate 00000;slimy 00100,cupid,11
3,roate 00000;slimy 00100;cupid 00022,vivid,1
3,roate 00000;slimy 00100;cupid 01022,undid,1
3,roate 00000;slimy 00100;cupid 01120,unzip,1
3,roate 00000;slimy 00100;cupid 02010,fungi,1
3,roate 00000;slimy 00100;cupid 10010,finch,2
4,roate 00000;slimy 00100;cupid 10010;finch 02222,winch,1
4,roate 00000;slimy 00100;cupid 10010;finch 22222,finch,1
3,roate 00000;slimy 00100;cupid 10110,pinch,1
3,roate 00000;slimy 00100;cupid 12120,pubic,1
3,roate 00000;slimy 00100;cupid 20010,cinch,1
3,roate 00000;slimy 00100;cupid 20020,civic,1
3,roate 00000;slimy 00100;cupid 22020,cubic,1
2,roate 00000;slimy 00101,cynic,1
2,roate 00000;slimy 00102,panda,13
3,roate 00000;slimy 00102;panda 00000,fizzy,2
4,roate 00000;slimy 00102;panda 00000;fizzy 12002,jiffy,1
4,roate 00000;slimy 00102;panda 00000;fizzy 22222,fizzy,1
3,roate 00000;slimy 00102;panda 00010,dizzy,1
3,roate 00000;slimy 00102;panda 00020,biddy,2
4,roate 00000;slimy 00102;panda 00020;biddy 02222,giddy,1
4,roate 00000;slimy 00102;panda 00020;biddy 22222,biddy,1
3,roate 00000;slimy 00102;panda 00200,kinky,2
4,roate 00000;slimy 00102;panda 00200;kinky 02202,ninny,1
4,roate 00000;slimy 00102;panda 00200;kinky 22222,kinky,1
3,roate 00000;slimy 00102;panda 00210,dingy,1
3,roate 00000;slimy 00102;panda 00220,windy,1
3,roate 00000;slimy 00102;panda 10000,hippy,1
3,roate 00000;slimy 00102;panda 20000,picky,2
4,roate 00000;slimy 00102;panda 20000;picky 22002,piggy,1
4,roate 00000;slimy 00102;panda 20000;picky 22222,picky,1
3,roate 00000;slimy 00102;panda 20200,pinky,1
2,roate 00000;slimy 00110,cumin,4
3,roate 00000;slimy 00110;cumin 00121,minim,1
3,roate 00000;slimy 00110;cumin 02220,humid,1
3,roate 00000;slimy 00110;cumin 10220,mimic,1
3,roate 00000;slimy 00110;cumin 22222,cumin,1
2,roate 00000;slimy 00112,wimpy,1
2,roate 00000;slimy 00200,chick,5
3,roate 00000;slimy 00200;chick 00222,quick,1
3,roate 00000;slimy 00200;chick 02200,whiff,1
3,roate 00000;slimy 00200;chick 02220,which,1
3,roate 00000;slimy 00200;chick 10200,icing,1
3,roate 00000;slimy 00200;chick 22222,chick,1
2,roate 00000;slimy 00201,dying,2
3,roate 00000;slimy 00201;dying 02222,vying,1
3,roate 00000;slimy 00201;dying 22222,dying,1
2,roate 00000;slimy 00202,juicy,3
3,roate 00000;slimy 00202;juicy 00202,whiny,1
3,roate 00000;slimy 00202;juicy 01202,unify,1
3,roate 00000;slimy 00202;juicy 22222,juicy,1
2,roate 00000;slimy 01000,gulch,2
3,roate 00000;slimy 01000;gulch 02122,lunch,1
3,roate 00000;slimy 01000;gulch 22222,gulch,1
2,roate 00000;slimy 01001,lynch,1
2,roate 00000;slimy 01002,badly,7
3,roate 00000;slimy 01002;badly 00012,lucky,2
4,roate 00000;slimy 01002;badly 00012;lucky 12002,pulpy,1
4,roate 00000;slimy 01002;badly 00012;lucky 22222,lucky,1
3,roate 00000;slimy 01002;badly 00022,fully,2
4,roate 00000;slimy 01002;badly 00022;fully 02222,gully,1
4,roate 00000;slimy 01002;badly 00022;fully 22222,fully,1
3,roate 00000;slimy 01002;badly 00122,dully,1
3,roate 00000;slimy 01002;badly 20012,bulky,1
3,roate 00000;slimy 01002;badly 20022,bully,1
2,roate 00000;slimy 01010,mulch,1
2,roate 00000;slimy 01011,lymph,1
2,roate 00000;slimy 01012,lumpy,1
2,roate 00000;slimy 01100,civil,6
3,roate 00000;slimy 01100;civil 00022,pupil,1
3,roate 00000;slimy 01100;civil 02021,lipid,1
3,roate 00000;slimy 01100;civil 02122,vigil,1
3,roate 00000;slimy 01100;civil 02221,livid,1
3,roate 00000;slimy 01100;civil 10021,lucid,1
3,roate 00000;slimy 01100;civil 22222,civil,1
2,roate 00000;slimy 01101,idyll,2
3,roate 00000;slimy 01101;idyll 10102,vinyl,1
3,roate 00000;slimy 01101;idyll 22222,idyll,1
2,roate 00000;slimy 01102,bandh,5
3,roate 00000;slimy 01102;bandh 00000,filly,2
4,roate 00000;slimy 01102;bandh 00000;filly 02222,willy,1
4,roate 00000;slimy 01102;bandh 00000;filly 22222,filly,1
3,roate 00000;slimy 01102;bandh 00001,hilly,1
3,roate 00000;slimy 01102;bandh 00010,dilly,1
3,roate 00000;slimy 01102;bandh 20000,billy,1
2,roate 00000;slimy 01112,dimly,3
3,roate 00000;slimy 01112;dimly 01122,imply,1
3,roate 00000;slimy 01112;dimly 02112,milky,1
3,roate 00000;slimy 01112;dimly 22222,dimly,1
2,roate 00000;slimy 01122,filmy,1
2,roate 00000;slimy 01200,bodhi,6
3,roate 00000;slimy 01200;bodhi 00001,quill,1
3,roate 00000;slimy 01200;bodhi 00011,chill,1
3,roate 00000;slimy 01200;bodhi 00012,chili,1
3,roate 00000;slimy 01200;bodhi 00101,guild,1
3,roate 00000;slimy 01200;bodhi 00111,child,1
3,roate 00000;slimy 01200;bodhi 20101,build,1
2,roate 00000;slimy 01201,lying,1
2,roate 00000;slimy 01202,icily,1
2,roate 00000;slimy 02000,flung,8
3,roate 00000;slimy 02000;flung 02200,cluck,2
4,roate 00000;slimy 02000;flung 02200;cluck 02222,pluck,1
4,roate 00000;slimy 02000;flung 02200;cluck 22222,cluck,1
3,roate 00000;slimy 02000;flung 02220,plunk,1
3,roate 00000;slimy 02000;flung 02222,clung,1
3,roate 00000;slimy 02000;flung 12200,bluff,1
3,roate 00000;slimy 02000;flung 22200,fluff,1
3,roate 00000;slimy 02000;flung 22220,flunk,1
3,roate 00000;slimy 02000;flung 22222,flung,1
2,roate 00000;slimy 02001,glyph,1
2,roate 00000;slimy 02020,clump,3
3,roate 00000;slimy 02020;clump 02221,plumb,1
3,roate 00000;slimy 02020;clump 02222,plump,1
3,roate 00000;slimy 02020;clump 22222,clump,1
2,roate 00000;slimy 02100,fluid,1
2,roate 00000;slimy 02200,flick,8
3,roate 00000;slimy 02200;flick 02200,blind,1
3,roate 00000;slimy 02200;flick 02200,blind,1
3,roate 00000;slimy 02200;flick 02202,blink,1
3,roate 00000;slimy 02200;flick 02210,cling,1
3,roate 00000;slimy 02200;flick 02212,clink,1
3,roate 00000;slimy 02200;flick 02222,click,1
3,roate 00000;slimy 02200;flick 12210,cliff,1
3,roate 00000;slimy 02200;flick 22200,fling,1
3,roate 00000;slimy 02200;flick 22222,flick,1
2,roate 00000;slimy 02220,blimp,2
3,roate 00000;slimy 02220;blimp 12220,climb,1
3,roate 00000;slimy 02220;blimp 22222,blimp,1
2,roate 00000;slimy 10002,hasps,7
3,roate 00000;slimy 10002;hasps 00110,gypsy,1
3,roate 00000;slimy 10002;hasps 00200,dusky,1
3,roate 00000;slimy 10002;hasps 00201,fussy,1
3,roate 00000;slimy 10002;hasps 10200,bushy,1
3,roate 00000;slimy 10002;hasps 10210,pushy,1
3,roate 00000;slimy 10002;hasps 20200,husky,1
3,roate 00000;slimy 10002;hasps 20201,hussy,1
2,roate 00000;slimy 10010,humus,2
3,roate 00000;slimy 10010;humus 02122,mucus,1
3,roate 00000;slimy 10010;humus 22222,humus,1
2,roate 00000;slimy 10012,mushy,2
3,roate 00000;slimy 10012;mushy 22202,musky,1
3,roate 00000;slimy 10012;mushy 22222,mushy,1
2,roate 00000;slimy 10100,ficus,1
2,roate 00000;slimy 10102,fishy,3
3,roate 00000;slimy 10102;fishy 02102,gipsy,1
3,roate 00000;slimy 10102;fishy 02202,wispy,1
3,roate 00000;slimy 10102;fishy 22222,fishy,1
2,roate 00000;slimy 10110,minus,2
3,roate 00000;slimy 10110;minus 21011,music,1
3,roate 00000;slimy 10110;minus 22222,minus,1
2,roate 00000;slimy 10112,missy,1
2,roate 00000;slimy 10200,using,2
3,roate 00000;slimy 10200;using 01200,whisk,1
3,roate 00000;slimy 10200;using 22222,using,1
2,roate 00000;slimy 11000,lupus,1
2,roate 00000;slimy 12000,abaft,3
3,roate 00000;slimy 12000;abaft 00000,plush,1
3,roate 00000;slimy 12000;abaft 00010,flush,1
3,roate 00000;slimy 12000;abaft 01000,blush,1
2,roate 00000;slimy 12200,bliss,1
2,roate 00000;slimy 20000,skunk,7
3,roate 00000;slimy 20000;skunk 20200,shush,1
3,roate 00000;slimy 20000;skunk 20202,shuck,1
3,roate 00000;slimy 20000;skunk 20210,snuff,1
3,roate 00000;slimy 20000;skunk 20212,snuck,1
3,roate 00000;slimy 20000;skunk 20220,swung,1
3,roate 00000;slimy 20000;skunk 20222,spunk,1
3,roate 00000;slimy 20000;skunk 22222,skunk,1
2,roate 00000;slimy 20002,sunny,1
2,roate 00000;slimy 20100,squib,2
3,roate 00000;slimy 20100;squib 20110,sushi,1
3,roate 00000;slimy 20100;squib 22222,squib,1
2,roate 00000;slimy 20102,sissy,1
2,roate 00000;slimy 20200,swing,5
3,roate 00000;slimy 20200;swing 20200,skiff,1
3,roate 00000;slimy 20200;swing 20210,sniff,1
3,roate 00000;slimy 20200;swing 20222,suing,1
3,roate 00000;slimy 20200;swing 22200,swish,1
3,roate 00000;slimy 20200;swing 22222,swing,1
2,roate 00000;slimy 20202,ancho,4
3,roate 00000;slimy 20202;ancho 00000,spiky,1
3,roate 00000;slimy 20202;ancho 00100,spicy,1
3,roate 00000;slimy 20202;ancho 01000,spiny,1
3,roate 00000;slimy 20202;ancho 01010,shiny,1
2,roate 00000;slimy 20220,skimp,1
2,roate 00000;slimy 21000,skulk,2
3,roate 00000;slimy 21000;skulk 22220,skull,1
3,roate 00000;slimy 21000;skulk 22222,skulk,1
2,roate 00000;slimy 21002,shyly,3
3,roate 00000;slimy 21002;shyly 20012,sulky,1
3,roate 00000;slimy 21002;shyly 20022,sully,1
3,roate 00000;slimy 21002;shyly 22222,shyly,1
2,roate 00000;slimy 21102,silky,2
3,roate 00000;slimy 21102;silky 22202,silly,1
3,roate 00000;slimy 21102;silky 22222,silky,1
2,roate 00000;slimy 21200,apeak,3
3,roate 00000;slimy 21200;apeak 00000,swill,1
3,roate 00000;slimy 21200;apeak 00001,skill,1
3,roate 00000;slimy 21200;apeak 02000,spill,1
2,roate 00000;slimy 22000,slung,3
3,roate 00000;slimy 22000;slung 22200,slush,1
3,roate 00000;slimy 22000;slung 22220,slunk,1
3,roate 00000;slimy 22000;slung 22222,slung,1
2,roate 00000;slimy 22002,slyly,1
2,roate 00000;slimy 22020,slump,1
2,roate 00000;slimy 22200,slick,3
3,roate 00000;slimy 22200;slick 22200,sling,1
3,roate 00000;slimy 22200;slick 22202,slink,1
3,roate 00000;slimy 22200;slick 22222,slick,1
2,roate 00000;slimy 22222,slimy,1
1,roate 00001,silen,106
2,roate 00001;silen 00010,alkyd,6
3,roate 00001;silen 00010;alkyd 00000,beech,1
3,roate 00001;silen 00010;alkyd 00001,debug,1
3,roate 00001;silen 00010;alkyd 00010,beefy,1
3,roate 00001;silen 00010;alkyd 00011,weedy,1
3,roate 00001;silen 00010;alkyd 00100,check,1
3,roate 00001;silen 00010;alkyd 00110,geeky,1
2,roate 00001;silen 00011,bench,5
3,roate 00001;silen 00011;bench 01100,enemy,1
3,roate 00001;silen 00011;bench 02100,needy,1
3,roate 00001;silen 00011;bench 02200,penny,1
3,roate 00001;silen 00011;bench 02222,wench,1
3,roate 00001;silen 00011;bench 22222,bench,1
2,roate 00001;silen 00012,begun,1
2,roate 00001;silen 00020,cheek,2
3,roate 00001;silen 00020;cheek 00120,embed,1
3,roate 00001;silen 00020;cheek 22222,cheek,1
2,roate 00001;silen 00021,unfed,3
3,roate 00001;silen 00021;unfed 02022,kneed,1
3,roate 00001;silen 00021;unfed 22022,unwed,1
3,roate 00001;silen 00021;unfed 22222,unfed,1
2,roate 00001;silen 00022,hymen,2
3,roate 00001;silen 00022;hymen 00022,queen,1
3,roate 00001;silen 00022;hymen 22222,hymen,1
2,roate 00001;silen 00110,chewy,7
3,roate 00001;silen 00110;chewy 00102,leggy,1
3,roate 00001;silen 00110;chewy 00200,quell,1
3,roate 00001;silen 00110;chewy 00202,elegy,1
3,roate 00001;silen 00110;chewy 00210,dwell,1
3,roate 00001;silen 00110;chewy 02210,whelp,1
3,roate 00001;silen 00110;chewy 10200,fleck,1
3,roate 00001;silen 00110;chewy 11200,leech,1
2,roate 00001;silen 00111,blend,2
3,roate 00001;silen 00111;blend 01110,newly,1
3,roate 00001;silen 00111;blend 22222,blend,1
2,roate 00001;silen 00120,becap,10
3,roate 00001;silen 00120;becap 01000,wheel,1
3,roate 00001;silen 00120;becap 01001,expel,1
3,roate 00001;silen 00120;becap 01100,clued,1
3,roate 00001;silen 00120;becap 01200,excel,1
3,roate 00001;silen 00120;becap 02000,jewel,2
4,roate 00001;silen 00120;becap 02000;jewel 02022,level,1
4,roate 00001;silen 00120;becap 02000;jewel 22222,jewel,1
3,roate 00001;silen 00120;becap 21000,bleed,1
3,roate 00001;silen 00120;becap 21002,bleep,1
3,roate 00001;silen 00120;becap 22000,bevel,2
4,roate 00001;silen 00120;becap 22000;bevel 22022,bezel,1
4,roate 00001;silen 00120;becap 22000;bevel 22222,bevel,1
2,roate 00001;silen 00121,kneel,1
2,roate 00001;silen 00122,lumen,1
2,roate 00001;silen 00210,belch,4
3,roate 00001;silen 00210;belch 02200,jelly,1
3,roate 00001;silen 00210;belch 02222,welch,1
3,roate 00001;silen 00210;belch 22200,belly,1
3,roate 00001;silen 00210;belch 22222,belch,1
2,roate 00001;silen 01010,edify,4
3,roate 00001;silen 01010;edify 10200,weigh,1
3,roate 00001;silen 01010;edify 11100,medic,1
3,roate 00001;silen 01010;edify 20100,equip,1
3,roate 00001;silen 01010;edify 22222,edify,1
2,roate 00001;silen 01011,eking,6
3,roate 00001;silen 01011;eking 10110,denim,1
3,roate 00001;silen 01011;eking 10211,neigh,1
3,roate 00001;silen 01011;eking 10222,being,1
3,roate 00001;silen 01011;eking 20110,ennui,1
3,roate 00001;silen 01011;eking 20222,eying,1
3,roate 00001;silen 01011;eking 22222,eking,1
2,roate 00001;silen 01012,deign,3
3,roate 00001;silen 01012;deign 02112,begin,1
3,roate 00001;silen 01012;deign 02222,feign,1
3,roate 00001;silen 01012;deign 22222,deign,1
2,roate 00001;silen 01020,chief,1
2,roate 00001;silen 01021,index,1
2,roate 00001;silen 01110,devil,1
2,roate 00001;silen 01112,elfin,1
2,roate 00001;silen 01120,impel,2
3,roate 00001;silen 01120;impel 10121,plied,1
3,roate 00001;silen 01120;impel 22222,impel,1
2,roate 00001;silen 01210,helix,1
2,roate 00001;silen 02011,fiend,1
2,roate 00001;silen 02020,bicep,2
3,roate 00001;silen 02020;bicep 02220,dicey,1
3,roate 00001;silen 02020;bicep 22222,bicep,1
2,roate 00001;silen 02021,piney,1
2,roate 00001;silen 02022,given,3
3,roate 00001;silen 02022;given 02022,widen,1
3,roate 00001;silen 02022;given 02122,vixen,1
3,roate 00001;silen 02022;given 22222,given,1
2,roate 00001;silen 02110,alway,3
3,roate 00001;silen 02110;alway 01000,field,1
3,roate 00001;silen 02110;alway 01001,yield,1
3,roate 00001;silen 02110;alway 01100,wield,1
2,roate 00001;silen 02120,libel,2
3,roate 00001;silen 02120;libel 02022,pixel,1
3,roate 00001;silen 02120;libel 22222,libel,1
2,roate 00001;silen 02122,liken,2
3,roate 00001;silen 02122;liken 22022,linen,1
3,roate 00001;silen 02122;liken 22222,liken,1
2,roate 00001;silen 10010,chess,3
3,roate 00001;silen 10010;chess 00110,pesky,1
3,roate 00001;silen 10010;chess 00222,guess,1
3,roate 00001;silen 10010;chess 22222,chess,1
2,roate 00001;silen 10020,bused,1
2,roate 00001;silen 10110,bless,2
3,roate 00001;silen 10110;bless 02220,flesh,1
3,roate 00001;silen 10110;bless 22222,bless,1
2,roate 00001;silen 10210,welsh,1
2,roate 00001;silen 20010,seedy,2
3,roate 00001;silen 20010;seedy 20200,speck,1
3,roate 00001;silen 20010;seedy 22222,seedy,1
2,roate 00001;silen 20011,spend,1
2,roate 00001;silen 20020,sheep,3
3,roate 00001;silen 20020;sheep 20221,speed,1
3,roate 00001;silen 20020;sheep 20222,sweep,1
3,roate 00001;silen 20020;sheep 22222,sheep,1
2,roate 00001;silen 20022,semen,3
3,roate 00001;silen 20022;semen 21022,sheen,1
3,roate 00001;silen 20022;semen 22022,seven,1
3,roate 00001;silen 20022;semen 22222,semen,1
2,roate 00001;silen 20110,ampul,5
3,roate 00001;silen 20110;ampul 00001,shelf,1
3,roate 00001;silen 20110;ampul 00002,shell,2
4,roate 00001;silen 20110;ampul 00002;shell 20222,swell,1
4,roate 00001;silen 20110;ampul 00002;shell 22222,shell,1
3,roate 00001;silen 20110;ampul 00102,spell,1
3,roate 00001;silen 20110;ampul 02002,smell,1
2,roate 00001;silen 20120,sleek,2
3,roate 00001;silen 20120;sleek 22220,sleep,1
3,roate 00001;silen 20120;sleek 22222,sleek,1
2,roate 00001;silen 21010,sheik,1
2,roate 00001;silen 21020,shied,2
3,roate 00001;silen 21020;shied 20222,spied,1
3,roate 00001;silen 21020;shied 22222,shied,1
2,roate 00001;silen 21120,spiel,1
2,roate 00001;silen 22021,sinew,1
1,roate 00002,sling,83
2,roate 00002;sling 00000,deuce,4
3,roate 00002;sling 00000;deuce 01012,emcee,1
3,roate 00002;sling 00000;deuce 01102,queue,1
3,roate 00002;sling 00000;deuce 02002,femme,1
3,roate 00002;sling 00000;deuce 22222,deuce,1
2,roate 00002;sling 00001,awful,6
3,roate 00002;sling 00001;awful 00000,hedge,1
3,roate 00002;sling 00001;awful 00010,budge,2
4,roate 00002;sling 00001;awful 00010;budge 02222,judge,1
4,roate 00002;sling 00001;awful 00010;budge 22222,budge,1
3,roate 00002;sling 00001;awful 00110,fudge,1
3,roate 00002;sling 00001;awful 00120,fugue,1
3,roate 00002;sling 00001;awful 01000,wedge,1
2,roate 00002;sling 00010,cheep,6
3,roate 00002;sling 00010;cheep 00100,undue,1
3,roate 00002;sling 00010;cheep 00110,venue,1
3,roate 00002;sling 00010;cheep 10100,dunce,1
3,roate 00002;sling 00010;cheep 10110,fence,1
3,roate 00002;sling 00010;cheep 10111,pence,1
3,roate 00002;sling 00010;cheep 11110,hence,1
2,roate 00002;sling 00011,nudge,1
2,roate 00002;sling 00020,penne,1
2,roate 00002;sling 00100,acmic,4
3,roate 00002;sling 00100;acmic 00010,pique,1
3,roate 00002;sling 00100;acmic 00020,pixie,1
3,roate 00002;sling 00100;acmic 00110,imbue,1
3,roate 00002;sling 00100;acmic 01010,piece,1
2,roate 00002;sling 00101,midge,1
2,roate 00002;sling 00110,mince,4
3,roate 00002;sling 00110;mince 02112,niche,1
3,roate 00002;sling 00110;mince 02122,niece,1
3,roate 00002;sling 00110;mince 02222,wince,1
3,roate 00002;sling 00110;mince 22222,mince,1
2,roate 00002;sling 00111,binge,3
3,roate 00002;sling 00111;binge 01212,genie,1
3,roate 00002;sling 00111;binge 02222,hinge,1
3,roate 00002;sling 00111;binge 22222,binge,1
2,roate 00002;sling 00200,chide,3
3,roate 00002;sling 00200;chide 10202,juice,1
3,roate 00002;sling 00200;chide 22202,chime,1
3,roate 00002;sling 00200;chide 22222,chide,1
2,roate 00002;sling 00201,guide,1
2,roate 00002;sling 00210,knife,1
2,roate 00002;sling 00220,whine,1
2,roate 00002;sling 01000,abbed,4
3,roate 00002;sling 01000;abbed 00010,cycle,1
3,roate 00002;sling 01000;abbed 00011,delve,1
3,roate 00002;sling 01000;abbed 00020,melee,1
3,roate 00002;sling 01000;abbed 01010,belle,1
2,roate 00002;sling 01001,bugle,3
3,roate 00002;sling 01001;bugle 00112,ledge,1
3,roate 00002;sling 01001;bugle 22112,bulge,1
3,roate 00002;sling 01001;bugle 22222,bugle,1
2,roate 00002;sling 01010,uncle,1
2,roate 00002;sling 01011,lunge,1
2,roate 00002;sling 01100,belie,2
3,roate 00002;sling 01100;belie 20112,bible,1
3,roate 00002;sling 01100;belie 22222,belie,1
2,roate 00002;sling 01101,bilge,2
3,roate 00002;sling 01101;bilge 02122,liege,1
3,roate 00002;sling 01101;bilge 22222,bilge,1
2,roate 00002;sling 01200,exile,2
