word,score
48-32=16,103460
48-36=12,103327
43-25=18,103256
43-27=16,103170
52-34=18,103088
43-28=15,103059
43-26=17,103016
52-38=14,102947
62-43=19,102798
39-25=14,102748
39-24=15,102692
58-42=16,102685
45-29=16,102642
62-49=13,102632
47-32=15,102580
47-35=12,102567
48-12=36,102552
58-46=12,102552
45-26=19,102523
48-16=32,102419
84-21=63,102387
45-27=18,102325
43-15=28,102309
62-47=15,102227
43-17=26,102223
62-45=17,102193
52-14=38,102180
46-27=19,102142
43-18=25,102112
46-29=17,102107
45-28=17,102094
43-16=27,102069
52-18=34,102039
84-61=23,102033
84-23=61,102023
49-37=12,101991
49-32=17,101970
62-13=49,101929
85-21=64,101929
61-27=34,101836
58-12=46,101816
39-15=24,101801
61-37=24,101797
72-54=18,101780
74-21=53,101774
62-19=43,101763
61-24=37,101746
39-14=25,101745
47-29=18,101744
75-63=12,101723
61-34=27,101707
45-19=26,101695
54-36=18,101695
58-16=42,101683
47-12=35,101672
84-63=21,101669
47-15=32,101659
72-58=14,101639
54-38=16,101618
86-72=14,101616
82-63=19,101586
45-16=29,101576
85-61=24,101575
75-62=13,101571
74-51=23,101561
47-28=19,101548
57-21=36,101548
86-74=12,101547
68-21=47,101520
96-82=14,101515
57-31=26,101509
71-23=48,101487
69-21=48,101473
93-41=52,101462
63-45=18,101459
96-84=12,101446
68-41=27,101442
82-69=13,101420
74-23=51,101410
71-43=28,101409
69-41=28,101395
45-17=28,101378
62-17=45,101358
85-24=61,101344
93-51=42,101327
62-15=47,101324
94-21=73,101319
63-48=15,101262
86-12=74,101251
96-12=84,101240
71-25=46,101234
59-47=12,101216
16+32=48,101207
74-53=21,101197
46-17=29,101195
59-42=17,101195
86-14=72,101182
96-14=82,101171
46-19=27,101160
71-45=26,101156
12+36=48,101148
45-18=27,101147
75-13=62,101130
71-28=43,101125
71-26=45,101114
72-53=19,101114
58-21=37,101105
49-17=32,101083
58-31=27,101066
85-73=12,101064
49-12=37,101062
59-21=38,101058
71-48=23,101047
72-14=58,101046
81-32=49,101037
71-46=25,101036
68-27=41,101025
81-39=42,101023
91-23=68,101021
59-31=28,101019
82-67=15,101015
81-42=39,100998
82-13=69,100993
85-64=21,100990
81-49=32,100984
59-43=16,100983
82-65=17,100981
75-12=63,100978
95-83=12,100963
92-74=18,100956
94-23=71,100955
72-59=13,100948
68-47=21,100947
93-42=51,100946
85-72=13,100912
72-18=54,100905
57-26=31,100899
67-53=14,100892
95-21=74,100861
57-36=21,100860
82-19=63,100827
92-78=14,100815
95-82=13,100811
93-52=41,100811
47-19=28,100797
18+25=43,100788
54-16=38,100787
16+27=43,100774
69-28=41,100747
94-71=23,100737
15+28=43,100711
54-18=36,100710
81-27=54,100710
85-13=72,100699
59-46=13,100698
95-13=82,100688
91-27=64,100686
67-54=13,100671
69-48=21,100669
91-63=28,100667
91-28=63,100659
18+34=52,100656
14+38=52,100638
69-57=12,100631
17+26=43,100624
81-24=57,100620
69-52=17,100610
58-27=31,100610
14+25=39,100608
47-18=29,100601
91-24=67,100596
92-14=78,100591
63-15=48,100590
58-37=21,100571
15+24=39,100549
85-12=73,100547
95-12=83,100536
65-47=18,100528
81-57=24,100497
83-69=14,100482
16+42=58,100471
92-18=74,100450
96-21=75,100442
83-64=19,100427
82-17=65,100422
12+46=58,100412
81-54=27,100407
63-18=45,100393
82-15=67,100388
74-56=18,100387
72-13=59,100380
94-73=21,100373
59-17=42,100347
91-67=24,100332
59-28=31,100332
59-12=47,100326
76-31=45,100325
12+35=47,100312
74-58=16,100310
91-68=23,100305
15+32=47,100299
65-48=17,100297
59-38=21,100293
76-41=35,100286
13+49=62,100286
95-71=24,100279
95-31=64,100278
19+43=62,100277
95-24=71,100276
16+29=45,100269
91-64=27,100242
81-35=46,100220
72-19=53,100214
36+12=48,100199
81-45=36,100181
67-13=54,100158
32+16=48,100140
59-13=46,100114
81-36=45,100100
81-46=35,100061
19+26=45,100046
73-59=14,100010
84-65=19,100008
84-69=15,100007
40-23=17,99988
56-37=19,99969
95-61=34,99963
63+21=84,99958
73-54=19,99955
67-49=18,99947
67-14=53,99937
56-39=17,99934
78-63=15,99930
79-21=58,99924
96-25=71,99913
69-17=52,99897
83-19=64,99889
18+27=45,99880
69-12=57,99876
96-71=25,99860
15+47=62,99858
40-27=13,99857
60-42=18,99846
12+37=49,99844
83-14=69,99834
59-16=43,99829
97-82=15,99825
97-85=12,99812
76-35=41,99796
17+29=46,99786
17+45=62,99780
78-65=13,99765
76-45=31,99757
17+32=49,99753
67-48=19,99751
17+28=45,99725
19+27=46,99713
79-51=28,99711
28+15=43,99708
26+17=43,99694
95-74=21,99694
95-34=61,99693
65-17=48,99659
74-16=58,99653
38+14=52,99648
60-48=12,99636
25+18=43,99631
34+18=52,99630
61+23=84,99608
74-18=56,99576
57-39=18,99571
94-76=18,99563
97-12=85,99550
27+16=43,99544
97-15=82,99537
46+12=58,99532
24+15=39,99528
23+61=84,99523
79-65=14,99514
97-83=14,99497
94-78=16,99486
64+21=85,99483
42+16=58,99473
50-32=18,99470
25+14=39,99469
79-64=15,99458
65-18=47,99428
84-15=69,99415
84-19=65,99414
12+63=75,99404
87-31=56,99400
95-64=31,99378
57-38=19,99375
34+27=61,99359
79-31=48,99352
43+19=62,99347
18+29=47,99343
53+21=74,99340
49+13=62,99338
78-13=65,99337
96-75=21,99331
79-41=38,99313
32+15=47,99304
35+12=47,99291
18+54=72,99289
24+37=61,99287
18+36=54,99286
16+38=54,99281
97-84=13,99276
73-19=54,99276
14+58=72,99271
14+72=86,99270
50-38=12,99260
13+62=75,99249
87-51=36,99226
12+74=86,99224
