word,score
soare,22484
stare,21652
roate,21584
raile,21432
arose,21360
raise,21348
arise,21344
slate,21340
saine,21288
orate,21280
saner,21236
snare,21224
irate,21148
raine,21120
strae,21120
slane,21044
crate,21008
salet,21004
ariel,20980
stale,20936
trace,20864
taler,20848
stoae,20788
share,20768
saice,20760
crane,20712
slier,20676
reast,20660
seral,20632
scare,20628
stane,20624
caret,20612
later,20600
taser,20600
carle,20596
carte,20580
oater,20512
carse,20512
soler,20476
sorel,20456
store,20456
ratel,20444
artel,20440
stire,20440
saute,20420
coate,20400
alter,20400
teary,20400
urate,20384
prate,20376
paire,20332
stear,20328
urase,20316
prase,20308
spare,20304
laser,20280
sayer,20264
cater,20240
sared,20236
tares,20228
trade,20220
sarge,20212
earst,20200
trone,20196
trine,20180
alert,20164
torse,20148
spaer,20120
alone,20112
aline,20096
scrae,20096
grate,20084
leary,20080
siler,20064
liane,20052
shale,20052
serai,20048
trape,20048
arsey,20028
snore,20028
maire,20000
realo,19988
earnt,19972
porae,19968
parle,19964
alure,19960
sabre,19960
sager,19948
scale,19912
lares,19908
salue,19904
react,19904
blare,19896
tears,19892
brane,19888
toile,19884
caner,19884
parse,19880
slade,19872
rates,19844
least,19836
slart,19832
toise,19800
glare,19796
frate,19796
saber,19776
rales,19772
arles,19768
setal,19744
stole,19740
antre,19736
early,19728
crise,19728
stile,19724
resat,19720
blaer,19712
rance,19696
atone,19692
reals,19680
irade,19680
learn,19676
reais,19660
irone,19656
trice,19652
peart,19644
oriel,19636
morae,19636
marle,19632
sware,19628
aiery,19608
leant,19608
pater,19608
aesir,19600
sauce,19596
spale,19588
dater,19580
anole,19576
lears,19572
shore,19572
spate,19572
rayle,19564
thrae,19564
tared,19564
anile,19560
shire,19556
aisle,19548
cares,19548
siren,19548
marse,19548
roset,19544
aster,19540
targe,19540
paler,19536
paise,19532
wrate,19532
toner,19520
crone,19516
flare,19508
lacer,19504
crine,19500
heart,19484
anise,19476
ronte,19476
haole,19472
corse,19468
alien,19464
stade,19452
reist,19448
hater,19448
shear,19444
tries,19444
score,19432
stone,19428
taper,19424
sayne,19420
chare,19416
relay,19412
safer,19408
deair,19396
clear,19396
tiler,19392
arets,19388
shoer,19388
farle,19384
thale,19380
aloes,19376
terai,19376
ursae,19376
haler,19376
caste,19372
shier,19372
uraei,19368
reans,19368
crape,19368
teras,19360
sawer,19360
brace,19360
plate,19356
steal,19348
sated,19348
baler,19344
saker,19336
canoe,19332
serac,19332
litre,19328
gater,19316
nares,19312
soave,19308
adore,19304
slice,19304
suite,19304
laers,19300
senor,19300
farse,19300
maile,19284
rathe,19280
roast,19276
daine,19276
mater,19276
spane,19276
sture,19276
layer,19272
saver,19272
tales,19268
solar,19268
lader,19268
grace,19260
rayne,19252
soral,19248
crame,19248
argle,19244
tamer,19244
sable,19244
trave,19244
loser,19236
ramet,19232
aeros,19228
armet,19228
pareo,19224
roule,19224
earls,19220
renal,19220
large,19220
route,19208
loner,19200
maise,19200
stage,19200
ramie,19196
prole,19196
stair,19192
sored,19192
retia,19184
tores,19184
pearl,19180
rated,19180
teals,19176
urite,19172
ariot,19168
drole,19168
resay,19164
blate,19164
oared,19156
braes,19152
vaire,19148
liter,19144
slake,19144
rouse,19140
renay,19128
seity,19128
laten,19124
loure,19116
prose,19112
spore,19108
arled,19104
taber,19104
ayrie,19100
baser,19096
prise,19096
blase,19096
nacre,19092
spire,19092
cadre,19092
derat,19084
potae,19080
segar,19080
aider,19068
seron,19068
serin,19068
alder,19068
thane,19068
reoil,19064
feart,19064
deary,19060
plane,19060
leany,19052
saint,19048
neral,19044
aired,19044
oaten,19036
diane,19032
trode,19024
palet,19020
paren,19020
corey,19012
tride,19008
cause,19000
rinse,18996
saned,18992
lacet,18988
oiler,18984
sonar,18984
trail,18980
spear,18980
nears,18976
stela,18976
great,18976
noter,18960
moire,18956
claes,18956
lager,18956
maser,18956
samel,18936
salep,18932
sitar,18928
lamer,18924
socle,18920
brose,18920
pares,18916
solei,18912
swale,18912
toeas,18908
earns,18908
spier,18908
taels,18904
brise,18904
soger,18904
aurei,18900
relit,18900
dealt,18900
slave,18896
ceria,18888
dares,18888
aures,18884
noise,18884
prone,18884
cared,18884
cleat,18880
abore,18876
urine,18876
erica,18872
lance,18872
sient,18872
lores,18864
rased,18860
sorta,18860
arsed,18856
drone,18856
stean,18852
tread,18852
trope,18852
samey,18844
liart,18840
leats,18840
shote,18840
trial,18836
tripe,18836
riley,18824
smore,18824
shite,18824
sonce,18820
ureal,18812
goier,18812
crake,18812
rimae,18808
slyer,18808
dorse,18808
tinea,18804
sider,18804
grise,18804
slant,18804
rotes,18800
range,18800
clote,18792
skate,18792
liner,18788
sceat,18788
citer,18784
phare,18784
sired,18780
tried,18780
tires,18772
crest,18768
cries,18764
water,18764
halse,18760
hares,18756
waite,18756
satem,18756
coure,18756
crena,18752
togae,18748
races,18748
space,18748
orant,18744
caper,18744
petar,18740
paste,18740
osier,18736
nitre,18732
sober,18732
roles,18728
sarin,18728
aimer,18724
close,18724
bares,18724
faine,18724
stake,18724
elain,18712
aloed,18712
drape,18708
ready,18704
blore,18700
smear,18696
plier,18692
waler,18692
soyle,18688
tawer,18688
areic,18684
heast,18684
horse,18676
brine,18676
lanes,18664
taker,18664
cruet,18664
cates,18660
earth,18660
slide,18660
dearn,18656
aruhe,18652
resit,18652
beast,18652
tuile,18648
lyase,18644
noser,18640
touse,18636
riant,18636
apter,18632
tenor,18628
gares,18624
sieur,18616
ceorl,18616
chase,18616
grade,18616
telia,18608
cabre,18608
aeons,18604
afore,18604
taver,18600
tolar,18596
pilae,18596
cager,18596
grone,18592
afire,18588
silen,18588
yeast,18584
mares,18584
pears,18580
haste,18580
seamy,18580
maerl,18576
styre,18572
table,18572
blear,18572
ourie,18568
shade,18568
cruse,18564
crave,18564
dears,18552
souce,18552
toyer,18548
niter,18548
baste,18548
leans,18544
shone,18544
gorse,18544
farce,18544
slaty,18544
doter,18536
zaire,18532
place,18532
selah,18528
lairy,18528
deray,18528
salve,18528
shine,18528
snarl,18520
stern,18520
clade,18520
frise,18516
pacer,18512
cores,18504
slope,18504
morse,18504
clone,18496
throe,18496
poler,18492
sewar,18492
poise,18488
lapse,18488
truce,18488
slipe,18488
train,18484
recal,18480
clart,18480
flane,18480
cline,18480
hanse,18476
belar,18476
surat,18476
stave,18476
sheal,18464
speat,18464
solde,18460
padre,18460
lathe,18456
starn,18452
loast,18452
toney,18448
arpen,18448
rones,18444
oread,18444
grape,18444
samen,18440
lacey,18432
swore,18432
snary,18428
orles,18424
yearn,18424
nates,18424
realm,18424
caber,18424
brame,18424
hears,18420
outre,18416
swire,18416
tribe,18416
borne,18416
reamy,18412
since,18408
larnt,18404
scone,18404
manet,18404
sucre,18400
apert,18396
shape,18396
cadet,18392
shiel,18392
rites,18388
bears,18388
scart,18388
louie,18380
tesla,18380
toper,18380
rhone,18376
spile,18376
amole,18372
pause,18368
lawer,18368
slime,18368
psoae,18364
boite,18364
beray,18364
leirs,18360
coset,18360
rhine,18360
spite,18360
lated,18356
peaty,18356
tased,18356
cadie,18356
denar,18356
saury,18356
rapes,18348
presa,18348
laker,18344
tsade,18340
false,18340
price,18340
fares,18336
wrote,18336
curet,18332
hoise,18328
coste,18328
namer,18328
cosie,18324
tenia,18324
rainy,18324
ranke,18324
stray,18324
forte,18324
grame,18324
years,18320
ulnae,18320
luter,18320
write,18320
riles,18316
elans,18316
loave,18316
louse,18316
birle,18316
sower,18316
drice,18312
canes,18304
manse,18304
swear,18304
curie,18296
reach,18296
troke,18296
snake,18296
conte,18292
gears,18288
barde,18288
meant,18284
tuner,18284
rouen,18280
steil,18280
payer,18280
trues,18280
trike,18280
laver,18280
borel,18280
haute,18276
morne,18276
shame,18276
ramen,18272
panel,18272
sidle,18272
acres,18264
leapt,18264
seric,18264
feast,18264
neals,18260
agile,18260
oaker,18256
scape,18256
pared,18252
pleat,18248
sepal,18248
neats,18244
taces,18244
poser,18244
weary,18244
moile,18240
glace,18240
faery,18236
outer,18232
soled,18232
birse,18232
curse,18232
leash,18228
lande,18228
parge,18228
clame,18228
isnae,18224
toles,18224
chore,18220
doser,18216
ureas,18212
