word,00000,00001,00002,00011,00012,00022,00111,00112,00122,00222,01111,01112,01122,01222,02222,11111,11112,11122,11222,12222,22222,score
soare,732,1616,1128,1680,1620,580,560,636,392,164,8,56,40,24,20,0,4,0,0,0,0,22484
stare,908,1916,848,1828,1184,516,680,564,276,196,80,120,72,20,48,0,0,0,0,0,4,21652
roate,780,1640,1000,1848,1532,424,784,680,312,48,108,52,24,24,4,0,0,0,0,0,0,21584
raile,692,1852,968,1916,1496,460,660,636,308,76,76,76,32,8,4,0,0,0,0,0,0,21432
arose,732,1936,808,2092,1236,552,780,460,356,156,56,28,48,8,8,0,0,0,0,0,4,21360
raise,672,2012,920,1880,1464,432,588,704,384,68,44,52,24,8,0,0,0,0,4,0,4,21348
arise,672,2104,828,1916,1284,576,756,472,368,148,60,28,24,12,4,0,0,0,4,0,4,21344
slate,884,2064,1148,1508,1312,596,456,576,240,188,36,108,76,32,20,0,8,0,4,0,4,21340
saine,828,1988,1264,1460,1628,724,320,404,340,164,12,52,44,16,16,0,0,0,0,0,0,21288
orate,780,1800,840,2008,1352,444,884,568,268,104,92,68,24,12,16,0,0,0,0,0,0,21280
saner,876,1860,996,1796,1304,628,672,532,240,196,40,64,36,8,4,0,4,0,0,0,4,21236
snare,876,1972,884,1824,1392,512,548,584,320,188,32,64,28,0,28,0,4,0,0,0,4,21224
irate,776,1848,860,2036,1372,388,808,568,272,112,96,64,32,16,8,0,0,0,0,0,4,21148
raine,780,1932,988,1800,1436,544,596,660,292,56,72,40,40,16,8,0,0,0,0,0,0,21120
strae,908,1912,852,1816,1368,344,684,688,288,56,112,100,76,40,12,0,0,0,4,0,0,21120
slane,900,2140,1188,1484,1264,724,384,512,240,252,36,68,20,28,20,0,0,0,0,0,0,21044
crate,984,1820,1108,1764,1264,556,608,444,292,156,80,76,52,20,20,0,8,0,4,0,4,21008
salet,884,1976,1236,1412,1520,484,512,632,248,68,36,160,52,20,4,0,16,0,0,0,0,21004
ariel,692,2112,708,2000,1488,384,652,712,244,72,52,88,44,12,0,0,0,0,0,0,0,20980
stale,884,2188,1024,1664,1216,536,544,432,332,152,60,88,68,12,44,0,4,4,4,0,4,20936
trace,984,1900,1028,1748,1272,564,616,496,264,124,92,60,44,24,28,4,0,4,4,0,4,20864
taler,784,2092,680,2152,1076,488,876,400,304,120,140,80,8,28,20,4,0,4,4,0,0,20848
stoae,704,2216,980,1868,1460,432,508,460,344,112,48,36,24,48,20,0,0,0,0,0,0,20788
