word,score
soare,5621
stare,5413
roate,5396
raile,5358
arose,5340
raise,5337
arise,5336
slate,5335
saine,5322
orate,5320
saner,5309
snare,5306
irate,5287
raine,5280
strae,5280
slane,5261
crate,5252
salet,5251
ariel,5245
stale,5234
trace,5216
taler,5212
stoae,5197
share,5192
saice,5190
crane,5178
slier,5169
reast,5165
seral,5158
scare,5157
stane,5156
caret,5153
later,5150
taser,5150
carle,5149
carte,5145
oater,5128
carse,5128
soler,5119
sorel,5114
store,5114
ratel,5111
artel,5110
stire,5110
saute,5105
coate,5100
alter,5100
teary,5100
urate,5096
prate,5094
paire,5083
stear,5082
urase,5079
prase,5077
spare,5076
laser,5070
sayer,5066
cater,5060
sared,5059
tares,5057
trade,5055
sarge,5053
earst,5050
trone,5049
trine,5045
alert,5041
torse,5037
spaer,5030
alone,5028
aline,5024
scrae,5024
grate,5021
leary,5020
siler,5016
liane,5013
shale,5013
serai,5012
trape,5012
arsey,5007
snore,5007
maire,5000
realo,4997
earnt,4993
porae,4992
parle,4991
alure,4990
sabre,4990
sager,4987
scale,4978
lares,4977
salue,4976
react,4976
blare,4974
tears,4973
brane,4972
toile,4971
caner,4971
parse,4970
slade,4968
rates,4961
least,4959
slart,4958
toise,4950
glare,4949
frate,4949
saber,4944
rales,4943
arles,4942
setal,4936
stole,4935
antre,4934
early,4932
crise,4932
stile,4931
resat,4930
blaer,4928
rance,4924
atone,4923
reals,4920
irade,4920
learn,4919
reais,4915
irone,4914
trice,4913
peart,4911
oriel,4909
morae,4909
marle,4908
sware,4907
aiery,4902
leant,4902
pater,4902
aesir,4900
sauce,4899
spale,4897
dater,4895
anole,4894
lears,4893
shore,4893
spate,4893
rayle,4891
thrae,4891
tared,4891
anile,4890
shire,4889
aisle,4887
cares,4887
siren,4887
marse,4887
roset,4886
aster,4885
targe,4885
paler,4884
paise,4883
wrate,4883
toner,4880
crone,4879
flare,4877
lacer,4876
crine,4875
heart,4871
anise,4869
ronte,4869
haole,4868
corse,4867
alien,4866
stade,4863
reist,4862
hater,4862
shear,4861
tries,4861
score,4858
stone,4857
taper,4856
sayne,4855
chare,4854
relay,4853
safer,4852
deair,4849
clear,4849
tiler,4848
arets,4847
shoer,4847
farle,4846
thale,4845
aloes,4844
terai,4844
ursae,4844
haler,4844
caste,4843
shier,4843
uraei,4842
reans,4842
crape,4842
teras,4840
sawer,4840
brace,4840
plate,4839
steal,4837
sated,4837
baler,4836
saker,4834
canoe,4833
serac,4833
litre,4832
gater,4829
nares,4828
soave,4827
adore,4826
slice,4826
suite,4826
laers,4825
senor,4825
farse,4825
maile,4821
rathe,4820
roast,4819
daine,4819
mater,4819
spane,4819
sture,4819
layer,4818
saver,4818
tales,4817
solar,4817
lader,4817
grace,4815
rayne,4813
soral,4812
crame,4812
argle,4811
tamer,4811
sable,4811
trave,4811
loser,4809
ramet,4808
aeros,4807
armet,4807
pareo,4806
roule,4806
earls,4805
renal,4805
large,4805
route,4802
loner,4800
maise,4800
stage,4800
ramie,4799
prole,4799
stair,4798
sored,4798
retia,4796
tores,4796
pearl,4795
rated,4795
teals,4794
urite,4793
ariot,4792
drole,4792
resay,4791
blate,4791
oared,4789
braes,4788
vaire,4787
liter,4786
slake,4786
rouse,4785
renay,4782
seity,4782
laten,4781
loure,4779
prose,4778
spore,4777
arled,4776
taber,4776
ayrie,4775
baser,4774
prise,4774
blase,4774
nacre,4773
spire,4773
cadre,4773
derat,4771
potae,4770
segar,4770
aider,4767
seron,4767
serin,4767
alder,4767
thane,4767
reoil,4766
feart,4766
deary,4765
plane,4765
leany,4763
saint,4762
neral,4761
aired,4761
oaten,4759
diane,4758
trode,4756
palet,4755
paren,4755
corey,4753
tride,4752
cause,4750
rinse,4749
saned,4748
lacet,4747
oiler,4746
sonar,4746
trail,4745
spear,4745
nears,4744
stela,4744
great,4744
noter,4740
moire,4739
claes,4739
lager,4739
maser,4739
samel,4734
salep,4733
sitar,4732
lamer,4731
socle,4730
brose,4730
pares,4729
solei,4728
swale,4728
toeas,4727
earns,4727
spier,4727
taels,4726
brise,4726
soger,4726
aurei,4725
relit,4725
dealt,4725
slave,4724
ceria,4722
dares,4722
aures,4721
noise,4721
prone,4721
cared,4721
cleat,4720
abore,4719
urine,4719
erica,4718
lance,4718
sient,4718
lores,4716
rased,4715
sorta,4715
arsed,4714
drone,4714
stean,4713
tread,4713
trope,4713
samey,4711
liart,4710
leats,4710
shote,4710
trial,4709
tripe,4709
riley,4706
smore,4706
shite,4706
sonce,4705
ureal,4703
goier,4703
crake,4703
rimae,4702
slyer,4702
dorse,4702
tinea,4701
sider,4701
grise,4701
slant,4701
rotes,4700
range,4700
clote,4698
skate,4698
liner,4697
sceat,4697
citer,4696
phare,4696
sired,4695
tried,4695
tires,4693
crest,4692
cries,4691
water,4691
halse,4690
hares,4689
waite,4689
satem,4689
coure,4689
crena,4688
togae,4687
races,4687
space,4687
orant,4686
caper,4686
petar,4685
paste,4685
osier,4684
nitre,4683
sober,4683
roles,4682
sarin,4682
aimer,4681
close,4681
bares,4681
faine,4681
stake,4681
elain,4678
aloed,4678
drape,4677
ready,4676
blore,4675
smear,4674
plier,4673
waler,4673
soyle,4672
tawer,4672
areic,4671
heast,4671
horse,4669
brine,4669
lanes,4666
taker,4666
cruet,4666
cates,4665
earth,4665
slide,4665
dearn,4664
aruhe,4663
resit,4663
beast,4663
tuile,4662
lyase,4661
noser,4660
touse,4659
riant,4659
apter,4658
tenor,4657
gares,4656
sieur,4654
ceorl,4654
chase,4654
grade,4654
telia,4652
cabre,4652
aeons,4651
afore,4651
taver,4650
tolar,4649
pilae,4649
cager,4649
grone,4648
afire,4647
silen,4647
yeast,4646
mares,4646
pears,4645
haste,4645
seamy,4645
maerl,4644
styre,4643
table,4643
blear,4643
ourie,4642
shade,4642
cruse,4641
crave,4641
dears,4638
souce,4638
toyer,4637
niter,4637
baste,4637
leans,4636
shone,4636
gorse,4636
farce,4636
slaty,4636
doter,4634
zaire,4633
place,4633
selah,4632
lairy,4632
deray,4632
salve,4632
shine,4632
snarl,4630
stern,4630
clade,4630
frise,4629
pacer,4628
cores,4626
slope,4626
morse,4626
clone,4624
throe,4624
poler,4623
sewar,4623
poise,4622
lapse,4622
truce,4622
slipe,4622
train,4621
recal,4620
clart,4620
flane,4620
cline,4620
hanse,4619
belar,4619
surat,4619
stave,4619
sheal,4616
speat,4616
solde,4615
padre,4615
lathe,4614
starn,4613
loast,4613
toney,4612
arpen,4612
rones,4611
oread,4611
grape,4611
samen,4610
lacey,4608
swore,4608
snary,4607
orles,4606
yearn,4606
nates,4606
realm,4606
caber,4606
brame,4606
hears,4605
outre,4604
swire,4604
tribe,4604
borne,4604
reamy,4603
since,4602
larnt,4601
scone,4601
manet,4601
sucre,4600
apert,4599
shape,4599
cadet,4598
shiel,4598
rites,4597
bears,4597
scart,4597
louie,4595
tesla,4595
toper,4595
rhone,4594
spile,4594
amole,4593
pause,4592
lawer,4592
slime,4592
psoae,4591
boite,4591
beray,4591
leirs,4590
coset,4590
rhine,4590
spite,4590
lated,4589
peaty,4589
tased,4589
cadie,4589
denar,4589
saury,4589
rapes,4587
presa,4587
laker,4586
tsade,4585
false,4585
price,4585
fares,4584
wrote,4584
curet,4583
hoise,4582
coste,4582
namer,4582
cosie,4581
tenia,4581
rainy,4581
ranke,4581
stray,4581
forte,4581
grame,4581
years,4580
ulnae,4580
luter,4580
write,4580
riles,4579
elans,4579
loave,4579
louse,4579
birle,4579
sower,4579
drice,4578
canes,4576
manse,4576
swear,4576
curie,4574
reach,4574
troke,4574
snake,4574
conte,4573
gears,4572
barde,4572
meant,4571
tuner,4571
rouen,4570
steil,4570
payer,4570
trues,4570
trike,4570
laver,4570
borel,4570
haute,4569
morne,4569
shame,4569
ramen,4568
panel,4568
sidle,4568
acres,4566
leapt,4566
seric,4566
feast,4566
neals,4565
agile,4565
oaker,4564
scape,4564
pared,4563
pleat,4562
sepal,4562
neats,4561
taces,4561
poser,4561
weary,4561
moile,4560
glace,4560
faery,4559
outer,4558
soled,4558
birse,4558
curse,4558
leash,4557
lande,4557
parge,4557
clame,4557
isnae,4556
toles,4556
chore,4555
doser,4554
ureas,4553
barye,4553
caple,4553
hause,4552
royne,4552
matey,4551
rages,4550
cruel,4550
skear,4550
savey,4550
ocrea,4549
reads,4549
alike,4549
sault,4549
rotal,4548
thole,4546
rache,4546
seton,4545
macer,4545
doner,4545
eorls,4544
roues,4544
sonde,4544
salty,4544
risen,4543
trona,4542
elint,4542
tiers,4541
beaty,4541
argue,4540
reins,4539
cripe,4539
frape,4539
drake,4538
walie,4535
morel,4535
tawie,4534
roted,4534
slain,4534
prest,4534
carve,4534
pareu,4533
paten,4533
blaes,4533
pries,4533
rails,4532
urena,4532
skier,4532
madre,4532
arils,4531
certy,4531
ravel,4531
hayer,4530
sadhe,4529
raits,4528
flier,4528
taupe,4527
drest,4527
tired,4527
dries,4526
spade,4526
resty,4525
those,4525
cried,4525
tiars,4524
anode,4523
recta,4523
cires,4523
hared,4523
smote,4523
smile,4523
coast,4523
trans,4522
bayer,4522
ailed,4521
stead,4521
hoser,4521
stope,4521
raced,4521
alist,4521
toran,4520
aiver,4520
piler,4520
arced,4520
olpae,4519
toaze,4519
inter,4519
smite,4519
ayres,4518
wares,4518
suave,4518
tawse,4518
feral,4517
boart,4517
stipe,4517
perai,4516
aside,4516
abler,4516
roist,4516
spine,4516
spart,4516
alowe,4515
loper,4515
bared,4515
bleat,4514
coley,4513
crome,4513
honer,4512
suent,4512
grice,4512
trove,4512
amine,4511
asper,4511
cedar,4510
mealy,4510
comae,4509
lased,4509
crime,4509
barge,4509
frame,4509
rines,4508
ravey,4508
roble,4508
pates,4507
neist,4507
stria,4506
meaty,4506
reaps,4506
lairs,4505
sayed,4505
lutea,4504
paseo,4504
rugae,4504
strep,4504
boner,4504
sural,4503
stied,4503
sloan,4502
artsy,4502
ronde,4502
enact,4501
mitre,4501
taxer,4501
craze,4501
luser,4500
terns,4500
dates,4500
speal,4500
fears,4500
nurse,4499
orals,4498
worse,4498
sithe,4498
gayer,4497
repay,4497
brake,4497
roans,4496
phase,4496
minae,4495
perst,4495
nerol,4494
lotes,4494
toras,4494
salto,4494
antes,4493
trema,4492
agone,4491
teils,4491
pager,4491
sarod,4490
cuter,4490
biter,4490
pales,4489
sured,4489
riels,4488
taros,4488
blite,4488
tapen,4487
alive,4487
stime,4487
tones,4485
apres,4485
bries,4485
whare,4485
auger,4483
regal,4483
facer,4483
surge,4483
dales,4482
spiel,4482
laces,4481
ancle,4481
clary,4481
clean,4480
caver,4480
sedan,4479
urent,4479
piert,4479
goner,4479
hoaed,4478
syren,4478
speir,4478
locie,4477
loipe,4477
anger,4477
prent,4477
tarsi,4476
reams,4476
druse,4476
drave,4476
resto,4475
coral,4474
waste,4474
marge,4474
forel,4473
sited,4473
cable,4473
rials,4471
fayre,4471
saunt,4471
siker,4470
drent,4470
leady,4470
pance,4470
ratio,4469
recit,4469
moner,4469
spaed,4469
wanle,4469
brast,4469
carol,4468
pores,4468
coyer,4467
hates,4467
beany,4467
peals,4466
after,4466
coder,4466
septa,4465
sepia,4464
latke,4464
style,4464
scrat,4464
thine,4464
redia,4463
terga,4463
rayed,4463
dance,4463
peats,4462
liers,4461
tapes,4461
dores,4461
inert,4460
apery,4460
shero,4460
shake,4460
